,Headline,Date
3900,                                                           CDC approves expanded rollout of COVID-19 boosters                          ,2021-10-21 21:05:00
3901,                                                           CDC Advisors Unanimously Back Mixing Covid-19 Vaccine Boosters                          ,2021-10-21 18:12:00
3902,"                                                           Pfizer Inc. stock rises Thursday, still underperforms market                          ",2021-10-21 17:15:00
3903,"                                                           CDC gathers to discuss which patient groups should get Moderna and J&J COVID-19 vaccine boosters, and Pfizer reports positive results from booster trial                          ",2021-10-21 14:07:00
3904,"                                                           Canada, Pfizer Strike Deal on Pediatric Vaccine Doses                          ",2021-10-21 13:11:00
3905,                                                           Merck Scores Unexpectedly in Pneumococcal Vaccine Fight With Pfizer. What It Means for the Stocks.                          ,2021-10-21 11:39:00
3906,                                                           Pfizer Covid-19 Booster Found to Restore Efficacy Back to Near 96%                          ,2021-10-21 09:30:00
3907,                                                           Moderna Stock Is Rising After FDA Authorization of Mix-and-Match Boosters                          ,2021-10-21 08:45:00
3908,"                                                           Pfizer, BioNTech: Phase 3 Study Shows High Efficacy of Covid-19 Vaccine Booster                          ",2021-10-21 07:19:00
3909,                                                           Pfizer and BioNTech say Phase 3 trial found booster dose of COVID vaccine had 95.6% efficacy against disease                           ,2021-10-21 06:57:34
3910,"Pfizer and BioNTech plan to submit data to FDA, EMA and other regulatory bodies",2021-10-21 06:48:40
3911,"Pfizer and BioNTech says trial involved more than 10,000 participants 16 years and older",2021-10-21 06:48:25
3912,Pfizer and BioNTech say Phase 3 trial found booster dose of COVID vaccine had 95.6% efficacy against disease,2021-10-21 06:47:40
3913,                                                           Novartis in New Agreement With BioNTech to Help Manufacture Covid-19 Vaccine                          ,2021-10-21 01:28:00
3914,                                                           People Who Got Johnson & Johnson’s Covid-19 Shot Can Get a Booster. Which One Should They Get?                          ,2021-10-20 19:49:00
3915,"                                                           FDA Authorizes Mix-and-Match, J&J, and Moderna Boosters                          ",2021-10-20 17:40:00
3916,                                                           Pfizer Inc. stock outperforms competitors on strong trading day                          ,2021-10-20 17:16:00
3917,"FDA will allow ‘mix-and-match’ boosters, with Americans receiving different booster than original COVID-19 vaccine",2021-10-20 16:56:00
3918,"                                                           White House unveils plan to get COVID vaccine to 5- to 11-year-olds once it’s authorized, and Europe is the only region with rising cases in latest week                          ",2021-10-20 15:04:00
3919,                                                           White House Lays Out Vaccine Rollout Plan for Kids Aged 5 to 11                          ,2021-10-20 10:46:00
4480,"                                                           U.K. in Agreements for Merck/Ridgeback, Pfizer Covid-19 Antivirals in Development                          ",2021-10-20 14:43:00
4481,                                                           White House details plan to vaccinate children ages 5 to 11 against Covid-19                          ,2021-10-20 10:34:00
4482,                                                           White House: Children will be able to get COVID-19 shots from their pediatricians                          ,2021-10-20 08:48:18
4483,"                                                           U.S. COVID-19 death toll tops 726,000 amid report FDA is set to allow mix-and-match vaccine booster shots                          ",2021-10-20 07:20:00
4484,                                                           Pfizer Inc. stock underperforms Tuesday when compared to competitors despite daily gains                          ,2021-10-19 17:15:00
4485,"                                                           Pfizer CEO says he’s gotten a COVID vaccine booster shot and most of us will, too                          ",2021-10-19 09:07:00
4486,                                                           The success of Merck’s antiviral — and other COVID-19 pills in development — may depend on how quickly people start taking them                          ,2021-10-19 07:25:00
4487,                                                           The FDA May Approve ‘Mix-and-Match’ Booster Shots as Soon as This Week                          ,2021-10-19 06:47:00
4488,                                                           FDA may soon approve mixing and matching COVID booster shots                          ,2021-10-18 19:44:00
4489,                                                           Pfizer Inc. stock outperforms competitors despite losses on the day                          ,2021-10-18 17:15:00
4490,"                                                           U.S. may soon authorize boosters for all 3 in-use vaccines, as experts renew plea for unvaccinated to get their shots                          ",2021-10-18 15:00:00
4491,                                                           Pfizer Vaccine for Kids Aged 5 to 11 to Be Evaluated by EMA. Vaccine Makers’ Stocks Are Mixed.                          ,2021-10-18 13:05:00
4492,                                                           Valneva Says Its Covid Vaccine Beats AstraZeneca’s. Shares Are Surging.                          ,2021-10-18 10:03:00
4493,"                                                           Coronavirus tally: Global cases of COVID-19 top 240 million and U.S. edges toward 725,000 fatalities                          ",2021-10-18 07:04:51
4494,                                                           Ideaya Biosciences Names White as Scientific Chief                          ,2021-10-18 06:13:00
4495,"                                                           Pfizer and AstraZeneca vaccines were as effective as prior infection, U.K. study finds                          ",2021-10-18 05:16:07
4496,"                                                           Paid Family Leave is Still in Biden’s Build Back Better Plan, Buttigieg Says                          ",2021-10-17 19:06:00
4497,                                                           J&J Booster Backed by FDA Advisory Committee. Here’s What Comes Next.                          ,2021-10-15 15:49:00
4498,                                                           The FDA Is About to Make Some Major Drug Decisions. What Investors Need to Know.                          ,2021-10-15 04:00:00
4499,"                                                           Former FDA Commissioner Scott Gottlieb on the Covid Pill, Vaccines for Kids                          ",2021-10-06 19:42:00
5100,                                                           FDA Vaccines Committee Seems Open to Mix-and-Match Boosters. What That Could Look Like.                          ,2021-10-15 17:41:00
5101,                                                           Pfizer Inc. stock underperforms Friday when compared to competitors                          ,2021-10-15 17:15:00
5102,                                                           Pfizer Gets Positive CHMP Opinion for Abrocitinib in Atopic Dermatitis                          ,2021-10-15 08:08:00
5103,"                                                           Pfizer Inc. stock rises Thursday, still underperforms market                          ",2021-10-14 17:15:00
5104,                                                           Moderna Booster Is Recommended by FDA Advisory Panel. Here’s Who Can Get Another Shot.                          ,2021-10-14 17:00:00
5105,                                                           Biden’s approval ratings on the pandemic drop as vaccination push continues                          ,2021-10-14 16:14:00
5106,                                                           FDA panel endorses a lower dose of Moderna’s COVID-19 vaccine for booster shot                          ,2021-10-14 15:52:00
5107,                                                           FDA Will Consider Regeneron’s Covid-19 Antibody for Full Approval                          ,2021-10-14 10:39:00
5108,                                                           Pfizer Inc. stock underperforms Wednesday when compared to competitors                          ,2021-10-13 17:15:00
5109,"                                                           'Mixing' COVID-19 vaccines triggers a stronger immune response, preliminary NIH study says                          ",2021-10-13 16:24:33
5110,"                                                           Johnson & Johnson Booster Shot May Bolster Immune Response, FDA Staff Says                          ",2021-10-13 16:08:00
5111,                                                           White House says an estimated 7 million people have received a COVID-19 booster                          ,2021-10-13 11:32:13
5112,"                                                           Merck’s Covid-19 Antiviral Can Still Get FDA Authorization, Despite Safety Concerns, Analyst Says                          ",2021-10-13 09:11:00
5113,                                                           An FDA Advisory Panel Will Debate Moderna and J&J Boosters This Week                          ,2021-10-13 06:32:00
5114,                                                           FDA staff takes no position on Moderna’s COVID booster                          ,2021-10-12 22:29:00
5115,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-10-12 17:15:00
5116,"                                                           Sanofi’s Covid Vaccine Inches Closer to the Market, Analyst Says                          ",2021-10-12 10:37:00
5117,                                                           Glaxo Stock Jumps as Private-Equity Firms Reportedly Circle Consumer Unit                          ,2021-10-12 08:49:00
5118,                                                           CureVac Halts Its First mRNA-Based Covid Vaccine. The Stock Is Tumbling.                          ,2021-10-12 08:43:00
5119,"                                                           Merck seeks authorization for what would be first pill to treat COVID-19, and AstraZeneca reports positive results for antibody treatment                          ",2021-10-12 06:14:00
5760,                                                           ADRs Close Mostly Higher; Eni Trades Actively                          ,2021-10-11 18:35:00
5761,"                                                           Pfizer Inc. stock falls Monday, underperforms market                          ",2021-10-11 17:15:00
5762,                                                           Allowing people to mix COVID-19 vaccines could cut into Pfizer and Moderna’s revenue next year                          ,2021-10-11 08:07:00
5763,                                                           Merck asks U.S. FDA to authorize promising anti-COVID pill                          ,2021-10-11 06:23:00
5764,                                                           Pfizer Inc. stock underperforms Friday when compared to competitors                          ,2021-10-08 17:15:00
5765,"                                                           U.N. head says vaccine inequity is not just immoral but also ‘stupid,’ as U.S. daily case tally falls below 100,000 for first time since early August                          ",2021-10-08 14:10:00
5766,                                                           A Lyme Disease Vaccine From Pfizer and Valneva Will Have to Avoid the Pitfalls of the Past                          ,2021-10-08 11:01:00
5767,                                                           Covid-19 Vaccine Boosters Are Outpacing First Doses. What Vaccine Stocks Are Doing.                          ,2021-10-08 10:07:00
5768,                                                           Jobs Day Is Here. Only a Huge Surprise Will Change Anything.                          ,2021-10-08 06:30:00
5769,                                                           Finland joins other Nordic nations in curbing Moderna shots                          ,2021-10-08 06:22:00
5770,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-10-07 17:15:00
5771,"                                                           News that children could soon be eligible for Pfizer-BioNTech vaccine cheers parents, as Biden pushes vaccine requirements in Chicago                          ",2021-10-07 14:32:00
5772,                                                           Pfizer and BioNTech Asked FDA to Authorize Vaccine for Children                          ,2021-10-07 10:01:00
5773,"                                                           Pfizer, BioNTech file for FDA authorization for their COVID-19 vaccine in children                           ",2021-10-07 08:46:13
5774,"                                                           Pfizer Inc. stock falls Wednesday, underperforms market                          ",2021-10-06 17:15:00
5775,                                                           Vaccine Stocks Slip Fourth Day in a Row. Here’s Why.                          ,2021-10-06 11:42:00
5776,                                                           Voyager Therapeutics Shares Rise 52% After Licensing Deal With Pfizer                          ,2021-10-06 10:46:00
5777,"                                                           COVID-19 vaccines have saved more than 39,000 lives in Medicare population, government study concludes, while WHO warns that ‘we are not out of the woods yet’                          ",2021-10-06 10:36:00
5778,                                                           Voyager Therapeutics Stock Had Been Beaten Down. Here’s Why It’s Soaring.                          ,2021-10-06 10:18:00
5779,                                                           BioNTech CEO reportedly says a different COVID vaccine may be needed by next year                          ,2021-10-04 02:58:00
6460,                                                           Voyager Therapeutics stock rockets after license option deal with Pfizer that could be valued at $630 million                          ,2021-10-06 07:32:28
6461,                                                           Voyager Therapeutics in Licensing Deal With Pfizer                          ,2021-10-06 07:11:00
6462,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-10-05 17:15:00
6463,                                                           E.U. authorizes third dose of Moderna's COVID-19 vaccine for the immunocompromised                          ,2021-10-05 11:22:08
6464,                                                           Pfizer’s Covid Vaccine Loses Effectiveness Against Infection Over Time. What To Know.                          ,2021-10-05 10:34:00
6465,                                                           Johnson & Johnson Sends Booster Data to FDA. Here’s What Comes Next.                          ,2021-10-05 08:59:00
6466,"                                                           U.S. COVID-19 cases and hospitalizations continue to decline, but experts lament preventable deaths that have pushed toll above 700,000                          ",2021-10-05 06:59:00
6467,"                                                           Pfizer Inc. stock falls Monday, still outperforms market                          ",2021-10-04 17:15:00
6468,"                                                           New Vaccines Might Be Needed in 2022, BioNTech CEO Says. Vaccine Stocks Are Still Getting Crushed.                          ",2021-10-04 11:17:00
6469,                                                           Johnson & Johnson Data on RSV Vaccines Raises the Bar in Industrywide Race                          ,2021-10-04 08:41:00
6470,                                                           Here’s why COVID-19 booster shots are good for business                          ,2021-10-04 07:15:00
6471,                                                           Democrats Still Negotiating $3.5 Trillion Reconciliation Bill                          ,2021-10-03 18:51:00
6472,                                                           Pfizer Inc. stock outperforms competitors despite losses on the day                          ,2021-10-01 17:15:00
6473,                                                           FDA Advisory Panel Meetings Will Address Moderna and J&J Boosters                          ,2021-10-01 15:47:00
6475,                                                           Pfizer loses legal battle with big implications for drug pricing                          ,2021-10-01 14:27:00
6476,                                                           Merck Covid Pill Cuts Covid Hospitalization in Half. Its Stock Is Surging.                          ,2021-10-01 12:40:00
6477,                                                           BioNTech Starts New Cancer Vaccine Trial                          ,2021-10-01 10:08:00
6478,                                                           History Says Expect a Strong Fourth Quarter. History Can Be Wrong.                          ,2021-10-01 06:49:00
6479,"                                                           Pfizer Inc. stock falls Thursday, underperforms market                          ",2021-09-30 17:15:00
7200,"                                                           AstraZeneca vaccine shows 74% efficacy in large U.S.-backed trial, and BioNTech co-founder says COVID will become manageable                          ",2021-09-30 14:22:00
7201,                                                           A growing number of parents want to have their young children vaccinated as soon as possible                          ,2021-09-30 13:29:00
7202,                                                           There’s a Fight Over Pneumococcal Vaccines. Pfizer May Be Winning.                          ,2021-09-30 09:57:00
7203,"                                                           Moderna Is Likely to Get FDA Approval for Smaller Booster,  Report Says                          ",2021-09-30 08:03:00
7204,                                                           BioNTech Co-Founder Says Covid Will ‘Become Manageable’ and Be With Us for Years                          ,2021-09-30 07:33:00
7205,"                                                           CDC study finds side effects from COVID-19 vaccine booster are the same as after second shot, as experts urge unvaccinated to get their first shots                          ",2021-09-30 07:10:00
7206,"                                                           Pfizer Inc. stock rises Wednesday, outperforms market                          ",2021-09-29 17:15:00
7207,                                                           Pfizer Says Its Pneumococcal and Flu Vaccines Work Just as Well Given Together                          ,2021-09-29 09:29:00
7208,                                                           Pfizer says administering pneumococcal and flu shots at the same time is safe and effective                          ,2021-09-29 08:57:50
7209,                                                           Merck Says Its Covid-19  Antiviral Pill Looks Good Against Variants                          ,2021-09-29 08:33:00
7210,"                                                           Hopes rise that Pfizer  COVID-19 vaccine will be authorized for use in children aged 5 to 11 by late October, and Russia suffers worst one-day death toll                          ",2021-09-29 07:25:00
7211,"                                                           Pfizer Top-Line Results Positive in Study Combining Prevnar, Flu Shot                          ",2021-09-29 06:57:00
7212,                                                           Pfizer Kids’ Covid Vaccine May Not Be Authorized Before November                          ,2021-09-29 06:38:00
7213,"                                                           If Taper Tantrum 2.0 Is Like the First One, Prepare for Months of Instability                          ",2021-09-29 06:38:00
7214,                                                           Pfizer’s COVID vaccine for kids might not get FDA approval until November                          ,2021-09-28 17:25:00
7215,                                                           Pfizer Inc. stock underperforms Tuesday when compared to competitors                          ,2021-09-28 17:15:00
7216,                                                           A Sanofi Covid Vaccine Had Positive Early Trials. Why It’s Being Shelved.                          ,2021-09-28 08:59:00
7217,                                                           ViiV Gets FDA Priority Review for Cabotegravir Long-Acting for HIV Prevention                          ,2021-09-28 07:42:00
7218,"                                                           Pfizer, BioNTech to Request FDA Emergency-Use Authorization for Covid-19 Shot in Children in Coming Weeks                          ",2021-09-28 07:00:00
7219,                                                           Pfizer and BioNTech submit initial data to FDA from trial of COVID-19 vaccine in children aged 5 to 12                           ,2021-09-28 06:55:18
7980,Pfizer and BioNTech are seeking an emergency use authorization for their vaccine in children,2021-09-28 06:49:02
7981,Pfizer and BioNTech submit initial data to FDA from trial of COVID-19 vaccine in children aged 5 to 12,2021-09-28 06:48:35
7982,                                                           The Value Rotation Is Back. But for How Long?                          ,2021-09-28 06:36:00
7983,                                                           Pfizer Inc. stock underperforms Monday when compared to competitors                          ,2021-09-27 17:15:00
7984,"                                                           Dow books 4-day winning streak, but S&P 500, Nasdaq end lower as tech shares stumble                          ",2021-09-27 16:17:00
7985,"                                                           CEO says Pfizer will submit data on COVID-19 vaccine trial in 5- to 11-year-olds within days, with U.S. daily death toll still above 2,000                          ",2021-09-27 13:54:00
7986,                                                           Biden says 'boosters are important' as he receives his 3rd COVID vaccine shot                          ,2021-09-27 13:25:24
7987,"                                                           Biden to get COVID booster shot Monday, White House says                           ",2021-09-27 11:31:58
7988,"                                                           Pfizer CEO Says Vaccine Data in Children Due Soon, Starts Trial of Pill to Protect Against Covid-19                          ",2021-09-27 09:03:00
7989,                                                           Pfizer starts Phase 2/3 study of COVID-19 oral antiviral candidate for  adults exposed to virus                           ,2021-09-27 06:53:24
7990,Pfizer starts Phase 2/3 study of COVID-19 oral antiviral candidate for  adults exposed to virus,2021-09-27 06:47:22
7991,"                                                           U.S. confident it has enough COVID-19 vaccines for boosters, kids’ shots                          ",2021-09-26 16:17:00
7992,                                                           Pfizer Inc. stock underperforms Friday when compared to competitors                          ,2021-09-24 17:15:00
7993,"                                                           CDC head overrules advisers to allow COVID-19 boosters for at-risk workers, and Biden urges those eligible to act fast                          ",2021-09-24 14:15:00
7994,                                                           CDC: We are not changing the definition of 'fully vaccinated' now that COVID-19 boosters are available                           ,2021-09-24 13:16:22
7995,"                                                           'Go get the booster,' Biden says to eligible U.S. residents                          ",2021-09-24 10:46:00
7996,                                                           Walgreens Rolls Out More Pfizer Booster Shots                          ,2021-09-24 10:01:00
7997,                                                           Pfizer Vaccine Boosters Officially Approved. What to Know.                          ,2021-09-24 09:46:00
7998,"                                                           Whether COVID-19 boosters get approved or not, Pfizer and Moderna have already made their money                          ",2021-09-24 08:16:00
7999,                                                           CDC Advisors Recommend Pfizer Booster Shots for Older Americans. What to Know.                          ,2021-09-23 17:51:00
8800,"                                                           Pfizer Inc. stock rises Thursday, still underperforms market                          ",2021-09-23 17:15:00
8801,"                                                           CDC panel backs Pfizer’s COVID-19 booster for seniors, high-risk adults                          ",2021-09-23 17:03:00
8802,                                                           Another Hedge Fund Joins in Criticism of GlaxoSmithKline CEO. What Investors Need to Know.                          ,2021-09-23 14:22:00
8803,"                                                           CDC to meet on boosters just hours after FDA authorized their use for seniors and high-risk individuals, as Africa slams U.K.’s travel rules                          ",2021-09-23 13:58:00
8804,                                                           FDA Authorizes Pfizer Booster for Some Americans. The CDC’s Call on the Rollout Could Come Today.                          ,2021-09-23 08:16:00
8805,                                                           Markets Defy Fed’s Hawkish Shift. Here’s Why.                          ,2021-09-23 06:31:00
8806,                                                           FDA backs Pfizer COVID-19 boosters for seniors and those at high risk                          ,2021-09-22 19:57:00
8807,"                                                           ADRs End Higher; WiMi, BioNTech Among Companies Actively Trading                          ",2021-09-22 17:53:00
8808,"                                                           Pfizer Inc. stock rises Wednesday, still underperforms market                          ",2021-09-22 17:15:00
8809,"                                                           Global tally of COVID-19 cases nears 230 million, as Biden convenes virtual pandemic summit and doubles U.S. purchase of Pfizer vaccine                          ",2021-09-22 14:48:00
8810,                                                           CDC Committee Will Consider Pfizer Booster. What to Know.                          ,2021-09-22 09:09:00
8811,                                                           J&J says booster shot greatly improves its COVID-19 vaccine’s efficacy as experts await FDA decision                          ,2021-09-22 08:34:00
8812,                                                           CDC committee to meet today and Thursday to again discuss BioNTech and Pfizer's COVID-19 booster                          ,2021-09-22 07:34:41
8813,"                                                           Biden doubling vaccine purchase, calls for more global shots                          ",2021-09-22 07:06:00
8814,                                                           Coronavirus tally: Global cases of COVID-19 top 229.5 million and CDC advisers to meet to discuss boosters                          ,2021-09-22 06:30:58
8815,"                                                           Pfizer, BioNTech Expand Vaccine Program for Poor Countries                          ",2021-09-22 06:16:00
8816,"                                                           Pfizer, BioNTech to provide additional 500 million COVID-19 vaccine doses to U.S. government for donation                          ",2021-09-22 06:12:27
8817,"Pfizer, BioNTech to provide add’l COVID-19 vaccine doses to U.S. gov’t at non-for-profit price for donation",2021-09-22 06:04:00
8818,"Pfizer, BioNTech to provide U.S. gov’t with an additional 500 mln doses of COVID-19 vaccine",2021-09-22 06:03:00
8819,"                                                           Pfizer Inc. stock falls Tuesday, underperforms market                          ",2021-09-21 17:15:00
9660,"                                                           Nektar Therapeutics Shares Rise 5% on Deal With Pfizer, Merck KGaA                          ",2021-09-21 13:14:00
9661,"                                                           ‘I’m a firm believer in science, but I’d still like to wait’: Pfizer’s vaccine results for kids might not lead to quick vaccinations                          ",2021-09-21 11:42:00
9662,"                                                           J&J Says Its Booster Shot Works, but Its Vaccine Remains Effective Without a Second Dose                          ",2021-09-21 10:09:00
9663,"                                                           Pfizer’s vaccine results for kids might not lead to quick vaccinations, and housing demand remains strong                          ",2021-09-20 18:24:00
9664,                                                           Pfizer and BioNTech Say Covid-19 Vaccine Has Positive Results in Children. What to Know.                          ,2021-09-20 17:46:00
9665,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-09-20 17:15:00
9666,                                                           Dow books worst day in 9 weeks as debt woes for China’s Evergrande rattle stock market                          ,2021-09-20 16:59:00
9667,                                                           Treasury yields post biggest daily drop since August amid worries of potential spillover from China’s Evergrande                          ,2021-09-20 15:46:00
9668,"                                                           Upbeat result of COVID-19 vaccine trial in 5- to 11-year-olds tempered as U.S. daily death rate tops 2,000 for first time since March 1                          ",2021-09-20 14:09:00
9669,"                                                           FDA Panel Is a Win for Pfizer, Despite Mixed Result, Analyst Says                          ",2021-09-20 09:48:00
9670,                                                           Pills to Battle Covid Are Coming. These Companies Stand to Gain.                          ,2021-09-20 07:51:00
9671,"                                                           FDA panel recommends Pfizer’s COVID-19 booster for 65 and older, but not for the general public                          ",2021-09-20 07:47:00
9672,                                                           Pfizer and BioNTech say COVID-19 vaccine safe and effective in children aged 5 to 11                          ,2021-09-20 07:15:30
9673,Pfizer and BioNTech expect results in children under 5 'as soon as later this year',2021-09-20 06:49:34
9674,"Pfizer and BioNTech to submit data from trial to FDA, EMA and other agencies round the world ASAP",2021-09-20 06:49:05
9675,"Pfizer and BioNTech says vaccine was safe, well tolerated and showed robust neutralizing antibody response",2021-09-20 06:48:39
9676,Pfizer and BioNTech report positive results from COVID vaccine trial in children aged 5 to 11,2021-09-20 06:47:58
9677,                                                           It’s Crunchtime for Evergrande. The Market Is Worried.                          ,2021-09-20 06:39:00
9678,                                                           WHO warns lack of COVID-19 vaccine supply in Africa could make it breeding ground for new variants and ‘send the whole world back to square one’                          ,2021-09-18 15:29:00
9679,                                                           FDA Committee Vote Is a Rebuff to Biden. Impact on Vaccine Makers Is Less Clear.                          ,2021-09-17 18:04:00
10560,"                                                           Modern Portfolio Theory Ignores Crucial Systemic Risk, Author Says                          ",2021-09-18 07:00:00
10561,"                                                           ADRs End Lower, BioNTech Unilever Among Companies Actively Trading                          ",2021-09-17 19:02:00
10562,"                                                           Pfizer Inc. stock falls Friday, underperforms market                          ",2021-09-17 17:14:00
10563,                                                           FDA Panel Votes No on Biden’s Booster Shot Plan. Drug Stocks Fall.                          ,2021-09-17 16:40:00
10564,                                                           Scientists continue to say there isn’t enough evidence to make COVID-19 boosters available to all Americans                          ,2021-09-17 09:10:00
10565,"                                                           Investors are in a historically rotten mood. Their three biggest fears are overblown, strategist says.                          ",2021-09-17 08:43:00
10566,                                                           Sanofi Is Finally Catching Up. How a Covid Vaccine Could Lift the Stock.                          ,2021-09-17 07:58:00
10567,"                                                           Alaska joins Idaho in rationing health care as hospitals are packed with COVID patients, and WHO says Africa is being left behind in vaccine push                          ",2021-09-17 06:21:00
10568,"                                                           Pfizer Inc. stock falls Thursday, underperforms market                          ",2021-09-16 17:16:00
10569,                                                           FDA Advisors to Weigh In on Covid Booster Shots Friday. Investors Expect a Yes.                          ,2021-09-16 15:08:00
10570,"                                                           U.S. passes grim milestone as 1 person in every 500 has now died of COVID, as a debate about the need for booster shots heats up                          ",2021-09-16 14:40:00
10571,                                                           Moderna Says Higher Infection Risk After One Year Supports Covid Boosters                          ,2021-09-16 12:10:00
10572,                                                           Ignore the Billionaire Space Race. What SpaceX’s Historic Flight Really Means.                          ,2021-09-16 06:40:00
10573,"                                                           ADRs End Mixed; BioNTech, Gol Among Companies Actively Trading                          ",2021-09-15 19:20:00
10574,                                                           FDA says COVID-19 vaccines continue to protect people in the U.S. from severe disease                          ,2021-09-15 17:20:05
10575,"                                                           Pfizer Inc. stock rises Wednesday, still underperforms market                          ",2021-09-15 17:15:00
10576,"                                                           Exact stock surges as changes to Pfizer's sales agreement a 'positive,' analyst says                          ",2021-09-15 14:30:56
10577,                                                           FDA Stays Neutral on Covid Boosters. A Showdown Is Brewing.                          ,2021-09-15 13:20:00
10578,                                                           ‘Shoulda Got the Shot’: New PSAs employ real people rather than science and data to encourage unvaccinated Americans to change their minds                          ,2021-09-15 12:14:00
10579,                                                           Vaccines for Children Are Moving Closer. Pfizer Will Seek FDA Go-Ahead Next Month.                          ,2021-09-15 08:43:00
11500,                                                           Pfizer cites 'totality' of clinical data in bid for COVID-19 booster approval                          ,2021-09-15 09:29:41
11501,                                                           Pfizer expects to have safety and efficacy data for its COVID-19 vaccine in children in late September                           ,2021-09-15 07:47:38
11502,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-09-14 17:14:00
11503,                                                           CureVac Stock Falls as Company Cancels Vaccine Manufacturing Contracts                          ,2021-09-14 09:54:00
11504,                                                           It’s Crunch Time for Biden’s Booster Plan. The Debate is Growing.                          ,2021-09-14 08:25:00
11505,"                                                           Pfizer Inc. stock falls Monday, underperforms market                          ",2021-09-13 17:15:00
11506,                                                           Moderna Stock Is Tanking After a Review Arguing That Covid Vaccine Boosters Aren’t Needed                          ,2021-09-13 15:33:00
11507,                                                           Israel weighing fourth round of coronavirus vaccines: report                           ,2021-09-13 03:52:02
11508,                                                           Pfizer Inc. stock underperforms Friday when compared to competitors                          ,2021-09-10 17:15:00
11509,"                                                           Daily COVID-19 deaths rise to 6-month high, and Biden’s ‘patience is wearing thin’ for the unvaccinated                          ",2021-09-10 14:36:00
11510,                                                           Pfizer Inc. stock outperforms competitors despite losses on the day                          ,2021-09-09 17:15:00
11511,                                                           Marriott stock gains after CEO sees 'stabilization' in RevPAR in September                          ,2021-09-09 14:40:25
11512,                                                           European Medicines Agency Approves Additional Manufacturing Sites for Pfizer-BioNTech Covid Vaccine                          ,2021-09-09 12:26:00
11513,                                                           Why the U.K. Drug Regulator Approved Booster Shots—but the U.S. Is Still Deciding                          ,2021-09-09 11:51:00
11514,"                                                           Biden’s new pandemic approach to include vaccine mandates for federal workers, as U.S. averages 1,500 COVID deaths a day                          ",2021-09-09 11:07:00
11515,                                                           White House to Announce Drug-Pricing Plan. Pharma Stocks Are Down.                          ,2021-09-09 09:55:00
11516,"                                                           Myovant, Pfizer: FDA to Review Myfembree for Endometriosis Pain                          ",2021-09-09 07:36:00
11517,"                                                           Pfizer Inc. stock falls Wednesday, underperforms market                          ",2021-09-08 17:15:00
11518,                                                           eFFECTOR Therapeutics Skyrockets 180%                          ,2021-09-08 13:41:00
11519,"                                                           U.S. Deaths From Coronavirus Surpass 650,000                          ",2021-09-08 11:10:00
12480,                                                           Erasca in Clinical Trial Collaboration Agreement With Pfizer                          ,2021-09-08 08:23:00
12481,                                                           Moderna stock extends rally after price target gets a 77% boost at Morgan Stanley                          ,2021-09-08 07:19:00
12482,                                                           Pfizer Inc. stock outperforms competitors despite losses on the day                          ,2021-09-07 17:15:00
12483,"                                                           Vaccine Booster Will Be Ready for FDA Approval, Fauci Says                          ",2021-09-07 11:11:00
12484,"                                                           Pfizer booster likely to be OK’d by Sept. 20, but Moderna’s may lag, Fauci says                          ",2021-09-07 08:17:00
12485,                                                           Boeing Now Has an Airbus Problem to Add to the List                          ,2021-09-07 06:32:00
12486,                                                           Millions Losing Federal Unemployment Benefits as Aid Expires                          ,2021-09-06 18:29:00
12487,                                                           14 dividend stocks from a winning value manager as the broader market hits record highs                          ,2021-09-04 09:34:00
12488,                                                           COVID-19 vaccine booster shots are more complicated than they appear. Here’s why.                          ,2021-09-04 08:35:00
12489,"                                                           Pfizer Inc. stock remains steady Friday, still outperforms market                          ",2021-09-03 17:15:00
12490,                                                           Fauci says mu variant isn’t an ‘immediate threat’ to U.S. as delta remains dominant coronavirus strain                          ,2021-09-03 13:49:00
12491,                                                           Health Officials Ask White House to Scale Back Covid-19 Booster Campaign                          ,2021-09-03 13:18:00
12492,                                                           Government health officials tell White House to scale back booster plan: report                          ,2021-09-03 12:30:39
12493,                                                           Pfizer Inc. stock outperforms market on strong trading day                          ,2021-09-02 17:15:00
12494,                                                           FDA committee to discuss COVID-19 booster shots                          ,2021-09-02 15:46:10
12495,                                                           AbbVie Stock Dropped After FDA Warning. Analysts Say Selloff Is Overblown.                          ,2021-09-02 15:04:00
12496,"                                                           European regulator sees ‘no urgent need’ for COVID-19 boosters, aligning with WHO view and not the U.S.                          ",2021-09-02 14:28:00
12497,                                                           FDA Will Convene Advisory Committee to Consider Pfizer Covid-19 Booster                          ,2021-09-02 11:15:00
12498,                                                           Moderna Begins Submission Process for FDA Approval of Its Covid Booster Shot                          ,2021-09-02 07:42:00
