,Headline,Date,Description
1022,Moderna’s coronavirus vaccine approved by UK regulator,2021-01-08 12:40:52,"<span>...the third approved for emergency use in the UK, after the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca jabs were given the go-ahead in recent weeks...</span>"
1021,EU set to more than double supply of BioNTech/Pfizer Covid vaccine,2021-01-08 15:40:05,"<span>EU set to more than double supply of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> Covid vaccine</span>"
1020,Red tape and fear threaten the Covid vaccination effort,2021-01-08 16:07:19,"<span>...as the first major country to launch the Oxford/AstraZeneca and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccines. But to provide around 13m shots in six weeks is still...</span>"
1019,An indomitable bull market hides its own risks,2021-01-08 17:04:20,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
1018,Biden vows to release Covid-19 vaccine doses once in office,2021-01-08 18:29:00,"<span>...people can get a first dose quickly. The US authorised the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine with a gap of 21 days between doses, and 28 days...</span>"
1017,Markets rally on hopes for a Biden recovery plan,2021-01-08 18:35:03,"<span>...out of control’The EU will double its supplies of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> coronavirus vaccine, as it seeks to quell the blame game over the...</span>"
1016,Party city Dubai becomes escape hatch as Europe locks down,2021-01-08 20:00:24,"<span>...way with its vaccination drive. Dubai this month rolled out its BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccination programme, which aims to inoculate 70 per cent of the population...</span>"
1015,UK decision to space vaccination doses sparks fierce debate over risk,2021-01-08 20:48:06,"<span>...that they were investigating extending the time between doses of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine to beyond the recommended 21 days. Denmark opted to increase the...</span>"
1014,UK records highest daily death toll since start of pandemic,2021-01-08 23:19:04,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
1013,"Coronavirus: US smashes record with more than 300,000 daily cases — as it happened",2021-01-09 01:57:25,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
1012,Indonesia relies on vaccine rollout as officials lose ‘control’ of pandemic,2021-01-10 03:22:58,"<span>...and procedures.”Indonesia has also agreed deals with other vaccine providers, including <mark class=""search-item__highlight"">Pfizer</mark> and AstraZeneca, but Sinovac will make up the majority of the free...</span>"
1011,Vaccine makers prepare for game of Covid cat and mouse,2021-01-10 21:00:02,"<span>...laboratory tests at the University of Texas have found that the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine still works against one of the most concerning mutations in the...</span>"
761,Investors warm to US bank stocks in 2021,2021-01-11 05:00:03,"<span>...have outperformed the wider market by more than 25 percentage points since <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech announced on November 9 that their Covid-19 vaccine had...</span>"
760,Decision-time looms on EU budget rules as pandemic fallout grows,2021-01-11 06:51:48,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
759,FirstFT: Today’s top stories,2021-01-11 12:15:32,"<span>...the market in bonds backed by mortgages on apartment blocks.The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine has been shown to work against one of the most concerning...</span>"
758,Canadians seethe over lockdown-defying politicians,2021-01-11 12:46:26,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
757,Sanofi acquires immunotherapy biotech Kymab,2021-01-11 12:47:01,"<span>...Covid-19 jabs, the minister added: Recipharm for Moderna, Delpharm for BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Fareva for CureVac. “We are working on it,” she said of...</span>"
756,Madrid grinds to a halt amid biggest snowfall for 50 years,2021-01-11 17:48:51,"<span>...later. But Mr Grande-Marlaska added that the distribution of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> coronavirus vaccine was taking place “with total normality” — although a supply flight...</span>"
755,Brussels probes member states’ compliance with EU Covid vaccine strategy,2021-01-11 18:22:29,"<span>...the commission has secured sufficient quantities of the vaccines made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, the only two so far to have won approval from...</span>"
754,Europe’s faltering start in the vaccine race,2021-01-11 18:32:40,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
753,Vaccination programmes face new sense of urgency,2021-01-11 18:38:07,"<span>...mouse”. Jabs that use messenger RNA technology, such as those from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, can be adapted fairly swiftly, but for others the process...</span>"
752,"Coronavirus: California’s death toll nears 30,000 but hospitalisation rate slows — as it happened",2021-01-11 21:10:00,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
751,Stock markets weaken as US dollar bounce continues,2021-01-11 21:25:15,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
750,EU vaccine-buying effort comes under the microscope ,2021-01-12 06:55:16,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
749,FirstFT: Today’s top stories,2021-01-12 12:19:04,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
748,EU’s Covid vaccine chief defends procurement scheme ,2021-01-12 12:34:44,"<span>...the leading vaccines approved by the European medical regulator, made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. “We bought as much as was offered,” said Ms Gallina...</span>"
747,BioNTech and Pfizer plan to supply 700m more Covid vaccine doses,2021-01-12 17:53:02,"<span>BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> plan to supply 700m more Covid vaccine doses</span>"
746,US looks to expand access to Covid-19 vaccines as rollout lags,2021-01-12 18:57:16,"<span>...and now has greater visibility and confidence in the production capabilities of <mark class=""search-item__highlight"">Pfizer</mark>, which is developing its vaccine with German partner BioNTech. Mr Azar also...</span>"
745,Johnson clashes with NHS chiefs over speed of vaccine rollout,2021-01-12 20:37:13,"<span>...how many doses of the two vaccines — one developed by BioNTech and <mark class=""search-item__highlight"">Pfizer</mark> and the second by Oxford university and AstraZeneca — had been made available...</span>"
744,Chinese vaccine efficacy lower than originally thought in Brazil trials ,2021-01-12 21:17:32,"<span>...posted an efficacy rate of 65.3 per cent. By contrast, BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna have reported efficacy rates of 95 per cent and 94...</span>"
743,Australian scientists cast doubt on Oxford/AstraZeneca vaccine,2021-01-13 04:42:49,"<span>...party said on Wednesday Canberra should seek additional supplies of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines, which trials show have higher efficacy — a measure of...</span>"
742,Pharma lobby warns against extending Covid jab intervals,2021-01-13 13:09:57,"<span>...approved vaccines it is currently deploying against coronavirus — those made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford/AstraZeneca — to 12 weeks, igniting a fierce scientific debate and...</span>"
741,"UK vaccine rollout constrained by manufacturing, say ministers",2021-01-13 20:17:49,"<span>...pace of the programme.The UK is currently using vaccines by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford university/AstraZeneca and Mr Johnson told MPs that the government...</span>"
740,Coronavirus: More than 10m Americans get first dose of vaccine — as it happened,2021-01-13 22:18:36,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
739,Covid infection shown to provide as much immunity as vaccines,2021-01-14 00:02:37,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
738,UK set to step up coronavirus vaccinations ,2021-01-14 19:56:27,"<span>...on Wednesday, was later withdrawn, but it showed that vaccines supplied by <mark class=""search-item__highlight"">Pfizer</mark>, AstraZeneca and Moderna are scheduled to arrive in significant quantities until the...</span>"
737,Coronavirus: Texas becomes first US state to administer 1m vaccine doses — as it happened,2021-01-14 22:37:35,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
436,"Accelerating US vaccinations ‘easier said than done’, experts say",2021-01-15 05:00:11,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
435,EU countries decry ‘very short notice’ of delay in delivery of Pfizer vaccine ,2021-01-15 18:22:17,"<span>EU countries decry ‘very short notice’ of delay in delivery of <mark class=""search-item__highlight"">Pfizer</mark> vaccine </span>"
434,US banks signal post-Covid optimism,2021-01-15 19:18:06,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
433,Letter: This vaccine plan will ease the strain on hospitals,2021-01-15 21:08:53,"<span>...or a lower first dose seems to improve vaccine performance.The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine on the other hand is based on cutting edge mRNA technology...</span>"
432,"Coronavirus: US adds almost 3,700 deaths but hospitalisations hit 12-day low — as it happened",2021-01-16 01:44:09,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
431,Coronavirus second wave surges across Africa,2021-01-17 05:00:42,"<span>...a population of about 1.2bn. The vaccines have been ordered from <mark class=""search-item__highlight"">Pfizer</mark>, Oxford/AstraZeneca via India's Serum Institute, and Johnson &amp; Johnson. The AU...</span>"
430,"Biden inauguration, ECB meeting, China GDP",2021-01-17 18:48:35,"<span>...is likely to be complicated this week as production of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccines is reorganised to increase capacity from 1.3bn to 2bn doses...</span>"
429,Brazil approves AstraZeneca and Chinese coronavirus vaccines ,2021-01-17 20:28:31,"<span>...vaccines approved on Sunday, the country is also considering purchasing the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine, but ministers have baulked at the manufacturer’s request for exemption...</span>"
428,Indonesia criticised for prioritising social media stars in vaccine drive,2021-01-18 01:09:54,"<span>...per cent, significantly lower than those of the jabs produced by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Oxford/AstraZeneca.Based on the Brazilian data, Indonesia would need...</span>"
427,Chinese and Russian vaccines in high demand as world scrambles for doses ,2021-01-18 05:00:55,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
426,UK turns corner on vaccine rollout,2021-01-18 18:50:52,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
425,WHO head warns of global ‘moral failure’ on vaccines,2021-01-18 18:58:58,"<span>...had agreed to purchase 270m doses for its 54 member countries from <mark class=""search-item__highlight"">Pfizer</mark>, AstraZeneca via the Serum Institute and Johnson &amp; Johnson. African countries will be...</span>"
424,UK vaccination rollout a rare pandemic success ,2021-01-18 19:36:37,"<span>...carrier of coronavirus genes. It has also ordered 40m doses of BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>’s mRNA vaccine, which carries a very similar set of coronavirus genes...</span>"
423,Coronavirus: NY governor seeks to buy Covid vaccines directly from Pfizer — as it happened,2021-01-18 20:34:02,"<span>Coronavirus: NY governor seeks to buy Covid vaccines directly from <mark class=""search-item__highlight"">Pfizer</mark> — as it happened</span>"
422,Lower-income countries fall behind in race for vaccines,2021-01-20 05:00:13,"<span>...doses from China’s Sinopharm and 14m doses from AstraZeneca. Talks with <mark class=""search-item__highlight"">Pfizer</mark>, however, have stalled over the drugmaker’s request for a liability waiver...</span>"
421,BioNTech/Pfizer vaccine found effective against Covid-19 variant,2021-01-20 09:59:35,"<span>BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine found effective against Covid-19 variant</span>"
420,Lex Letter from Seoul: China’s vaccines and efficacy rates,2021-01-20 12:34:34,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
419,FirstFT: Today’s top stories,2021-01-20 12:35:33,"<span>...day average of new infections in the world this week.The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine has been shown to work against one of the most concerning...</span>"
418,EU and BioNTech/Pfizer clash over reduced vaccine deliveries,2021-01-20 14:02:41,"<span>EU and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> clash over reduced vaccine deliveries</span>"
417,Saga requires all cruise customers to have Covid vaccine,2021-01-20 14:11:37,"<span>...second vaccination,” said Nick Stace, chief executive of Saga’s travel arm.<mark class=""search-item__highlight"">Pfizer</mark> says the first dose of its vaccine delivers 89 per cent efficacy...</span>"
416,Investors bank on Biden in fight against pandemic,2021-01-20 17:41:34,"<span>...coronavirus before they embark on its cruisesThe EU has clashed with BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> over vaccine deliveriesMorning in AmericaDespite the sombre backdrop to today’s inauguration...</span>"
415,"UK ready to deploy tweaked vaccines, says Johnson",2021-01-20 19:25:45,"<span>...Israel which suggested protection provided by the first dose of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine was lower than had been found in trials.However, Sir Patrick...</span>"
414,New Zealand’s delayed vaccine rollout threatens early Covid success,2021-01-21 01:09:36,"<span>...contracts worth $1bn for the delivery of four vaccines: Oxford/AstraZeneca, BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>, Novavax and Janssen. But she insisted Wellington would not rush authorisation or...</span>"
413,EU leaders battle twin Covid threats as pandemic reaches ‘critical stage’,2021-01-21 06:30:37,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
412,Biden to use wartime powers to boost production of Covid supplies,2021-01-21 10:00:10,"<span>...doses out of every vial of the vaccine made by BioNTech and <mark class=""search-item__highlight"">Pfizer</mark>, and without them, vaccine supplies are likely to be reduced. States have...</span>"
86,Vaccine storage: cold call,2021-01-21 13:08:34,"<span class=""o-teaser__tag-prefix"">Lex</span>"
85,Israel coronavirus cases soar even as it pushes on with vaccine drive,2021-01-21 18:27:11,"<span>...of just over 6m — have received their first shot of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine, which provides some protection after 10 days of inoculation. Just over...</span>"
84,Pace of UK vaccinations opens a chink of light,2021-01-21 19:02:30,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
83,Coronavirus: Florida to crack down on ‘vaccine tourism’ — as it happened,2021-01-21 21:26:19,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
82,Pro-Beijing Hong Kong politicians to be vaccinated before city residents,2021-01-22 03:58:17,"<span>...to start vaccinations in mid-February, using a jab developed by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>. The city has also entered a supply agreement with the Oxford/AstraZeneca...</span>"
81,Electric vehicles need to arrive as fast as vaccines,2021-01-22 05:05:55,"<span>...behind batteries is very different from the mRNA technology in the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine. Yet the traditional timescales of battery and drug development are similar...</span>"
80,"Forget the ‘beginning of the end’, Covid is a permawar",2021-01-22 10:24:10,"<span class=""o-teaser__tag-prefix"">The Top Line</span>"
79,Israel finds single dose gives high resistance,2021-01-22 19:17:16,"<span>...A single shot of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine produces a robust antibody response within weeks, according to Israeli data that could help inform whether scarce...</span>"
78,EU hit by delay to Oxford/AstraZeneca vaccine delivery   ,2021-01-22 20:21:23,"<span>...variants identified in the UK and elsewhere. This month EU governments criticised <mark class=""search-item__highlight"">Pfizer</mark>’s decision to cut temporarily supplies of the vaccine it developed with...</span>"
77,Kim Jong Un faces Covid dilemma of isolation or vaccination,2021-01-23 01:00:41,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
76,Italy’s Conte threatens to sue vaccine makers over delayed doses ,2021-01-23 19:44:26,"<span>...deliveries that have already prompted Italy to threaten legal action against BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>.“These delays in deliveries are serious contractual violations, which cause enormous damage...</span>"
75,Is Covid variant raging through UK more lethal?,2021-01-23 21:29:22,"<span>...to be cut to a maximum of six weeks for the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine. But defenders of the current policy say a more virulent variant...</span>"
74,Slow vaccination rollout puts EU strategy under scrutiny,2021-01-24 11:00:15,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
73,Hedge fund Element warns of deep economic blow from new virus strain,2021-01-24 17:00:48,"<span class=""o-teaser__tag-prefix"">Interview</span>"
72,Panasonic enters $22bn vaccine storage race with freezer boxes,2021-01-25 00:01:48,"<span>...the boxes can now be used to store the vaccine developed by <mark class=""search-item__highlight"">Pfizer</mark> and Germany’s BioNTech, which must be transported at minus 70C. Last...</span>"
71,The EU-China deal that gives Beijing too little to lose,2021-01-25 12:07:45,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
70,Moderna develops new vaccine to tackle mutant Covid strain,2021-01-25 15:26:47,"<span>...one of the leading makers of coronavirus vaccines, alongside rivals from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Oxford university/AstraZeneca. Its vaccine is being used in the US...</span>"
69,How Israel secured more vaccines than it can use,2021-01-26 05:00:27,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
68,Covid vaccine development: The shots available and the doses administered,2021-01-26 12:11:37,"<span>...PfizerGERMANY/USThe jab produced by Germany’s BioNTech and US pharmaceutical company <mark class=""search-item__highlight"">Pfizer</mark> uses breakthrough mRNA technology and has been approved for use in the...</span>"
67,Imperial College to target coronavirus mutations,2021-01-26 13:46:31,"<span>...saRNA. This is similar to the mRNA vaccines from Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> — injecting genetic instructions to make viral proteins, which prime the immune system...</span>"
66,Germany pushes back on AstraZeneca vaccine efficacy reports,2021-01-26 17:38:43,"<span>...risks throwing plans for mass vaccination across the EU into disarray after <mark class=""search-item__highlight"">Pfizer</mark> and BioNTech also reduced some supplies. The UK is already pushing ahead...</span>"
65,Vaccine protectionism by the EU will backfire,2021-01-26 18:17:39,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
64,"If Covid vaccines stop working, how quickly can drugmakers respond?",2021-01-26 19:27:14,"<span class=""o-teaser__tag-prefix"">News in-depth</span>"
63,Letter: Second dose backtracking could hit death duties,2021-01-27 00:00:48,"<span>...tax.Like others (Report, January 2) I was given my first BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab on December 30, with the assurance that the second would be...</span>"
62,Japan insists on domestic clinical trials before vaccine rollout,2021-01-27 01:01:48,"<span>...are the main outstanding condition for approval of the jabs from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and several other companies.Japan’s demand for proof that safety and...</span>"
224,Invention is the mother of profitability,2021-01-27 04:30:48,"<span class=""o-teaser__tag-prefix"">Special Report</span>"
223,Vaccine export rules: what is the EU proposing?,2021-01-27 05:00:49,"<span class=""o-teaser__tag-prefix"">Explainer</span>"
222,Lex letter from London: flag ends,2021-01-27 12:00:48,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
221,UK to study how much vaccines cut Covid transmission ,2021-01-27 12:57:24,"<span>...has led the world in vaccinating its population, suggest that the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine has reduced infection rates. Data from Israel’s vaccination programme will...</span>"
220,Madrid region to halt new vaccinations as supplies run out,2021-01-27 14:58:39,"<span>...head of Madrid’s regional government, said shortages of both the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines — the only ones so far approved by the EU...</span>"
219,EU spat with AstraZeneca throws spotlight on vaccine supplies,2021-01-27 18:21:04,"<span>...Brussels’ fight with AstraZeneca, which follows similar supply problems with the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab, culminated yesterday in calls for tighter restrictions on vaccines leaving the...</span>"
218,UK experts defend 12-week delay for second vaccine dose,2021-01-27 18:25:47,"<span>...the two marketed vaccines that use groundbreaking mRNA technology made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. Most other countries are sticking with the manufacturers’ recommendations that...</span>"
217,A grim accounting of the UK’s virus mishandling,2021-01-27 18:45:00,"<span class=""o-teaser__tag-prefix"">The FT View</span>"
216,Coronavirus: US relaxes vaccine guidance to allow more time between doses – as it happened,2021-01-27 22:13:15,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
215,South Korea leans on military to accelerate Covid vaccine rollout,2021-01-28 10:49:59,"<span>...public with the aim of achieving herd immunity by November. The BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines will also be widely used. Up to 250 vaccine...</span>"
214,Coronavirus: Germany recommends against using AstraZeneca jab for over-65s – as it happened,2021-01-28 12:53:14,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
213,German panel advises against AstraZeneca vaccine for over-65s,2021-01-28 18:09:02,"<span>...the two shots already approved by the European Medicines Agency — from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna — were judged to be “equivalent in terms of safety and...</span>"
212,Covid-19 vaccine exports face new EU restrictions as shortages bite,2021-01-28 19:05:17,"<span>...available for use, as all have manufacturing operations in the EU. BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> supplies the whole world apart from the US from its European plants...</span>"
211,Shortfall in jabs pushes EU vaccine drive to crisis point,2021-01-28 21:26:52,"<span>...doses for those entitled to second and final injections of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine.The French health ministry on Thursday night said deliveries of the...</span>"
210,Novavax’s Covid-19 vaccine shown to be 89% effective,2021-01-28 22:18:14,"<span>...could cause a fresh surge.Covid-19 vaccines from Moderna and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> have been shown to work against the B.1.1.7 variant...</span>"
209,"Letter: EU should pay vaccine groups more, not threaten legal action",2021-01-29 00:01:04,"<span>...still be done. The EU should offer to pay AstraZeneca or BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> an additional premium for any doses delivered early. Given the extraordinary cost...</span>"
208,Covid-19: how close is the light at the end of the tunnel?,2021-01-29 05:00:06,"<span class=""o-teaser__tag-prefix"">Undercover Economist</span>"
207,Dubai pays price for festive parties as coronavirus cases surge,2021-01-29 05:00:06,"<span>...a successful vaccination drive. The UAE, using the Chinese Sinopharm and BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jabs, has delivered more than 2.7m doses, covering more than a...</span>"
206,J&J vaccine shows 66% efficacy for moderate and severe Covid,2021-01-29 15:39:50,"<span>...is lower than that of jabs that are already authorised from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>, Moderna and Oxford/AstraZeneca. The rate is also not directly comparable because...</span>"
205,EU regulator approves Oxford/AstraZeneca vaccine for all adults,2021-01-29 17:41:59,"<span>...to be approved by the EU regulator, after jabs developed by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. The approval comes as the EU is struggling to get...</span>"
204,EU regulator approves Oxford/AstraZeneca jab but delivery dispute deepens,2021-01-29 18:33:55,"<span>...the third to be passed by the EMA after those from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. It follows a decision from Germany’s domestic regulator on...</span>"
203,Moderna cuts deliveries to Italy and France in new blow to EU vaccination plans,2021-01-29 18:43:30,"<span>...copy of the supply contract, or advanced purchase agreement, on Friday. BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> have also had to reduce some deliveries of its vaccine as all...</span>"
202,Shortage of coronavirus shots heaps pressure on European leaders ,2021-01-29 19:00:08,"<span>...deliveries. A regional health official described how a consignment of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine to the Spanish capital 10 days ago had been half what...</span>"
201,Johnson spurns flag waving as UK sets global pace with vaccines,2021-01-29 19:35:50,"<span>...Johnson is confident the EU will not restrict deliveries of the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine to the UK from a plant in Belgium. Michael Gove, Cabinet...</span>"
200,EU pledges vaccine controls will not hit UK supplies ,2021-01-30 22:46:18,"<span>...Ursula von der Leyen has promised Boris Johnson that future EU controls on vaccines will not disrupt contracted supplies of the Belgian-made BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>...</span>"
786,Vaccine rollout under Biden struggles to live up to campaign pledge,2021-02-01 05:00:53,"<span>...sites didn’t even know if they were going to get the <mark class=""search-item__highlight"">Pfizer</mark> or Moderna vaccine.”The Biden administration has also promised to use the...</span>"
785,UK refuses to reduce 12-week gap between care homes jabs,2021-02-01 15:24:07,"<span>...Joint Committee on Vaccination and Immunisation] . . . that the first dose of either <mark class=""search-item__highlight"">Pfizer</mark> or [AstraZeneca] vaccine provides substantial protection within two to three weeks of...</span>"
784,Kirkland & Ellis/lawyers: strong suits,2021-02-01 15:40:53,"<span class=""o-teaser__tag-prefix"">Lex</span>"
782,Balkan nations turn to China and Russia for jabs,2021-02-02 05:00:19,"<span>...would be difficult to explain to people why we are waiting for <mark class=""search-item__highlight"">Pfizer</mark>, Moderna and AstraZeneca,” he said, referring to three companies manufacturing EU-approved...</span>"
783,DHL boss lambasts lack of ‘foresight’ in vaccines rollout ,2021-02-02 05:00:19,"<span>...more than 260 aircraft, is among those contracted to deliver the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> jab. It has revamped its forwarding facilities across Germany to handle dry...</span>"
781,Brussels vaccine blame game causes internal strife,2021-02-02 06:36:28,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
780,FirstFT: Today’s top stories,2021-02-02 12:34:00,"<span>...will also have an eye on energy major ExxonMobil and pharmaceutical group <mark class=""search-item__highlight"">Pfizer</mark>. (FT)Navalny hearing Allies of Kremlin critic Alexei Navalny are expected to...</span>"
779,Vaccine concerns rise as variant fuelling UK infections mutates,2021-02-02 17:04:57,"<span>...antibodies extracted from the blood of people who had received the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> vaccine were only one-tenth as effective at neutralising the virus that...</span>"
778,Pfizer expects $15bn in Covid vaccine revenue this year,2021-02-02 18:00:54,"<span><mark class=""search-item__highlight"">Pfizer</mark> expects $15bn in Covid vaccine revenue this year</span>"
777,African countries look beyond west for vaccines,2021-02-02 18:10:54,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
776,French panel advises against giving Oxford/AstraZeneca jab to over-65s,2021-02-02 18:27:35,"<span>...way since late December, using the two other approved jabs from BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna. “There is a lack of data for people aged over...</span>"
775,AstraZeneca study supports UK decision to delay second doses,2021-02-02 19:08:55,"<span>...of coronavirus vaccines approved for use in the UK and EU, BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna, have not tested their vaccines over longer dosing schedules and...</span>"
774,Global vaccinations surpass new infections,2021-02-03 19:32:33,"<span> <span class=""o-labels o-labels--premium o-labels--content-premium"">Premium</span><span class=""o-normalise-visually-hidden""> content</span></span>"
773,Vaccine milestone as global Covid jabs pass number of confirmed cases,2021-02-03 20:09:34,"<span>...cent. Experts expect other leading vaccines, such as those made by BioNTech/<mark class=""search-item__highlight"">Pfizer</mark>, Moderna, Novavax and Johnson &amp; Johnson, to have similar effects though hard data...</span>"
772,Swiss medical regulator rejects Oxford/AstraZeneca Covid vaccine,2021-02-03 21:00:14,"<span>...have a real impact on the pandemic.”Switzerland has approved the BioNTech/<mark class=""search-item__highlight"">Pfizer</mark> and Moderna vaccines for use. But despite its extremely well-resourced medical...</span>"
771,FT Health: Lessons from the pandemic,2021-02-03 21:03:37,"<span>...diseases, sees GSK retain its top slot, followed by Novartis, Johnson &amp; Johson, <mark class=""search-item__highlight"">Pfizer</mark> and Sanofi. Companies are measured by governance of access, research &amp; development, and...</span>"
770,Coronavirus: California teams with federal government on first vaccine supersites – as it happened,2021-02-03 21:40:47,"<span class=""save-button-longer-copy"" data-variant-label="""">Save </span>"
